repo_name,repo_full_name,owner,status,type,group,canonical_repo,related_repos,purpose,next_action,notes,last_checked_at,evidence_ref
deeja-heartfelt-companion,zynx-chanont/deeja-heartfelt-companion,zynx-chanont,EXPERIMENT,agent-system,deeja-family,deeja-heartfelt-companion,,Repository in Zynx ecosystem requiring governance tracking,REVIEW,Provisional classification from local git evidence; README status block missing,2026-04-30T00:08:59+07:00,path=/Users/kant/Documents/Zynx/10_Sources/GitHub/deeja-heartfelt-companion;branch=main;head=4ef5752ceb5395655724caf15ab7f711a8b97c76;remote=https://github.com/zynx-chanont/deeja-heartfelt-companion.git
deejas-cultural-compass,zynx-chanont/deejas-cultural-compass,zynx-chanont,EXPERIMENT,agent-system,deeja-family,deejas-cultural-compass,,Repository in Zynx ecosystem requiring governance tracking,REVIEW,Provisional classification from local git evidence; README status block missing,2026-04-30T00:08:59+07:00,path=/Users/kant/Documents/Zynx/10_Sources/GitHub/deejas-cultural-compass;branch=main;head=386aad90de9cf035ba1fdf6a0ade7cea654b08a1;remote=https://github.com/zynx-chanont/deejas-cultural-compass.git
v0-zynx-ai-architecture,zynx-chanont/v0-zynx-ai-architecture,zynx-chanont,EXPERIMENT,experiment,experiments,v0-zynx-ai-architecture,local_clone_duplicates,Repository in Zynx ecosystem requiring governance tracking,VERIFY_CANONICAL,Provisional classification from local git evidence; README status block missing; multiple local clones detected,2026-04-30T00:08:59+07:00,path=/Users/kant/Documents/GitHub/v0-zynx-ai-architecture;branch=feat/add-agent-config;head=ae59face7e6117743faeaf8ccf10cbadf1fdd5b9;remote=https://github.com/zynx-chanont/v0-zynx-ai-architecture.git
v0-zynx-datable,zynx-chanont/v0-zynx-datable,zynx-chanont,EXPERIMENT,website,personal-showcase,v0-zynx-datable,,Repository in Zynx ecosystem requiring governance tracking,REVIEW,Provisional classification from local git evidence; README status block missing,2026-04-30T00:08:59+07:00,path=/Users/kant/Documents/Zynx/10_Sources/GitHub/v0-zynx-datable;branch=main;head=e39b1c3741f8ed8f1b0fbd56574df2f7e9634efb;remote=https://github.com/zynx-chanont/v0-zynx-datable.git
zynx,zynx-chanont/zynx,zynx-chanont,EXPERIMENT,experiment,zynx-core,zynx,zynx-d9a19adf,Repository in Zynx ecosystem requiring governance tracking,REVIEW,Provisional classification from local git evidence; README status block missing,2026-04-30T00:08:59+07:00,path=/Users/kant/Documents/Zynx/10_Sources/GitHub/zynx;branch=main;head=0d26fb55c94f9fcd0546fbf2c2f3fa2bfda56a73;remote=https://github.com/zynx-chanont/zynx.git
zynx-agi-compass,zynx-chanont/zynx-agi-compass,zynx-chanont,EXPERIMENT,agent-system,agent-systems,zynx-agi-compass,,Repository in Zynx ecosystem requiring governance tracking,REVIEW,Provisional classification from local git evidence; README status block missing,2026-04-30T00:08:59+07:00,path=/Users/kant/Documents/Zynx/10_Sources/GitHub/zynx-agi-compass;branch=main;head=2fb6a5da621bb973e28a29f1bef87c6947eb9eae;remote=https://github.com/zynx-chanont/zynx-agi-compass.git
zynx-agi-insight,zynx-chanont/zynx-agi-insight,zynx-chanont,EXPERIMENT,agent-system,agent-systems,zynx-agi-insight,,Repository in Zynx ecosystem requiring governance tracking,REVIEW,Provisional classification from local git evidence; README status block missing,2026-04-30T00:08:59+07:00,path=/Users/kant/Documents/Zynx/10_Sources/GitHub/zynx-agi-insight;branch=main;head=679139612e71b0984c76a9857ce9a5ddde2b3e49;remote=https://github.com/zynx-chanont/zynx-agi-insight.git
zynx-agi-wonder,zynx-chanont/zynx-agi-wonder,zynx-chanont,EXPERIMENT,agent-system,agent-systems,zynx-agi-wonder,,Repository in Zynx ecosystem requiring governance tracking,REVIEW,Provisional classification from local git evidence; README status block missing,2026-04-30T00:08:59+07:00,path=/Users/kant/Documents/Zynx/10_Sources/GitHub/zynx-agi-wonder;branch=main;head=75a5aaf2dba12197a8e512bc3bf07ac3194af91b;remote=https://github.com/zynx-chanont/zynx-agi-wonder.git
zynx-blueprint-master,zynx-chanont/zynx-blueprint-master,zynx-chanont,EXPERIMENT,experiment,experiments,zynx-blueprint-master,,Repository in Zynx ecosystem requiring governance tracking,REVIEW,Provisional classification from local git evidence; README status block missing,2026-04-30T00:08:59+07:00,path=/Users/kant/Documents/Zynx/10_Sources/GitHub/zynx-blueprint-master;branch=main;head=2ad012a4a622944fba6a1417b6419fbfec82ae7c;remote=https://github.com/zynx-chanont/zynx-blueprint-master.git
zynx-canvas-whisper,zynx-chanont/zynx-canvas-whisper,zynx-chanont,EXPERIMENT,website,personal-showcase,zynx-canvas-whisper,,Repository in Zynx ecosystem requiring governance tracking,REVIEW,Provisional classification from local git evidence; README status block missing,2026-04-30T00:08:59+07:00,path=/Users/kant/Documents/Zynx/10_Sources/GitHub/zynx-canvas-whisper;branch=main;head=a7b992759e6550d54f4b815ea49c574d03810ee0;remote=https://github.com/zynx-chanont/zynx-canvas-whisper.git
zynx-codeD,zynx-chanont/zynx-codeD,zynx-chanont,EXPERIMENT,tooling,agent-systems,zynx-codeD,,Repository in Zynx ecosystem requiring governance tracking,REVIEW,Provisional classification from local git evidence; README status block missing,2026-04-30T00:08:59+07:00,path=/Users/kant/Documents/Zynx/10_Sources/GitHub/zynx-codeD;branch=main;head=031d227f8024fd1ced54925fd9c6d606f831097f;remote=https://github.com/zynx-chanont/zynx-codeD.git
zynx-cognition-canvas,zynx-chanont/zynx-cognition-canvas,zynx-chanont,EXPERIMENT,website,personal-showcase,zynx-cognition-canvas,,Repository in Zynx ecosystem requiring governance tracking,REVIEW,Provisional classification from local git evidence; README status block missing,2026-04-30T00:08:59+07:00,path=/Users/kant/Documents/Zynx/10_Sources/GitHub/zynx-cognition-canvas;branch=main;head=9213300ddb8a7111bf51f8d0ec881227401d9dc7;remote=https://github.com/zynx-chanont/zynx-cognition-canvas.git
zynx-d2c,zynx-chanont/zynx-d2c,zynx-chanont,EXPERIMENT,experiment,experiments,zynx-d2c,,Repository in Zynx ecosystem requiring governance tracking,REVIEW,Provisional classification from local git evidence; README status block missing,2026-04-30T00:08:59+07:00,path=/Users/kant/Documents/Zynx/10_Sources/GitHub/zynx-d2c;branch=main;head=0e741377aea27bd84cc776a9476cdcec72067c5e;remote=https://github.com/zynx-chanont/zynx-d2c.git
zynx-d9a19adf,zynx-chanont/zynx-d9a19adf,zynx-chanont,MERGED,experiment,experiments,zynx,zynx,Repository in Zynx ecosystem requiring governance tracking,MERGE,Provisional classification from local git evidence; README status block missing; mapped to canonical zynx,2026-04-30T00:08:59+07:00,path=/Users/kant/Documents/Zynx/10_Sources/GitHub/zynx-d9a19adf;branch=main;head=0d26fb55c94f9fcd0546fbf2c2f3fa2bfda56a73;remote=https://github.com/zynx-chanont/zynx-d9a19adf.git
zynx-deeja-explore-ui,zynx-chanont/zynx-deeja-explore-ui,zynx-chanont,EXPERIMENT,website,deeja-family,zynx-deeja-explore-ui,zynx-deeja-explore-ui-32,Repository in Zynx ecosystem requiring governance tracking,REVIEW,Provisional classification from local git evidence; README status block missing,2026-04-30T00:08:59+07:00,path=/Users/kant/Documents/Zynx/10_Sources/GitHub/zynx-deeja-explore-ui;branch=main;head=0931b58e987ccaebf04161d32c51a6a10c369a78;remote=https://github.com/zynx-chanont/zynx-deeja-explore-ui.git
zynx-deeja-explore-ui-32,zynx-chanont/zynx-deeja-explore-ui-32,zynx-chanont,MERGED,website,deeja-family,zynx-deeja-explore-ui,zynx-deeja-explore-ui,Repository in Zynx ecosystem requiring governance tracking,MERGE,Provisional classification from local git evidence; README status block missing; mapped to canonical zynx-deeja-explore-ui,2026-04-30T00:08:59+07:00,path=/Users/kant/Documents/Zynx/10_Sources/GitHub/zynx-deeja-explore-ui-32;branch=main;head=6fb12b94c5ad8f44b12a2150cecb46d2b898d5a5;remote=https://github.com/zynx-chanont/zynx-deeja-explore-ui-32.git
zynx-forge-guard,zynx-chanont/zynx-forge-guard,zynx-chanont,EXPERIMENT,agent-system,agent-systems,zynx-forge-guard,,Repository in Zynx ecosystem requiring governance tracking,REVIEW,Provisional classification from local git evidence; README status block missing,2026-04-30T00:08:59+07:00,path=/Users/kant/Documents/Zynx/10_Sources/GitHub/zynx-forge-guard;branch=main;head=a05b0144a54dfeef81d94da350a0de757f968513;remote=https://github.com/zynx-chanont/zynx-forge-guard.git
zynx-genesis-flow,zynx-chanont/zynx-genesis-flow,zynx-chanont,EXPERIMENT,agent-system,agent-systems,zynx-genesis-flow,,Repository in Zynx ecosystem requiring governance tracking,REVIEW,Provisional classification from local git evidence; README status block missing,2026-04-30T00:08:59+07:00,path=/Users/kant/Documents/Zynx/10_Sources/GitHub/zynx-genesis-flow;branch=main;head=8d685b19b778912acf4d6b9dd10b6a239fb89300;remote=https://github.com/zynx-chanont/zynx-genesis-flow.git
zynx-guardian-shield,zynx-chanont/zynx-guardian-shield,zynx-chanont,EXPERIMENT,agent-system,agent-systems,zynx-guardian-shield,zynx-guardian-shield-980b2a30,Repository in Zynx ecosystem requiring governance tracking,REVIEW,Provisional classification from local git evidence; README status block missing,2026-04-30T00:08:59+07:00,path=/Users/kant/Documents/Zynx/10_Sources/GitHub/zynx-guardian-shield;branch=main;head=d3532995d23cd1d56fea706c21c78f156a6fc089;remote=https://github.com/zynx-chanont/zynx-guardian-shield.git
zynx-guardian-shield-980b2a30,zynx-chanont/zynx-guardian-shield-980b2a30,zynx-chanont,MERGED,agent-system,agent-systems,zynx-guardian-shield,zynx-guardian-shield,Repository in Zynx ecosystem requiring governance tracking,MERGE,Provisional classification from local git evidence; README status block missing; mapped to canonical zynx-guardian-shield,2026-04-30T00:08:59+07:00,path=/Users/kant/Documents/Zynx/10_Sources/GitHub/zynx-guardian-shield-980b2a30;branch=main;head=d3532995d23cd1d56fea706c21c78f156a6fc089;remote=https://github.com/zynx-chanont/zynx-guardian-shield-980b2a30.git
zynx-infra-suite,zynx-chanont/zynx-infra-suite,zynx-chanont,EXPERIMENT,infra,infra-tools,zynx-infra-suite,zynx-infra-suite-71d4d776,Repository in Zynx ecosystem requiring governance tracking,REVIEW,Provisional classification from local git evidence; README status block missing,2026-04-30T00:08:59+07:00,path=/Users/kant/Documents/Zynx/10_Sources/GitHub/zynx-infra-suite;branch=main;head=35df89cfa3a7437479128dd102bd443c11b8fe36;remote=https://github.com/zynx-chanont/zynx-infra-suite.git
zynx-infra-suite-71d4d776,zynx-chanont/zynx-infra-suite-71d4d776,zynx-chanont,MERGED,infra,infra-tools,zynx-infra-suite,zynx-infra-suite,Repository in Zynx ecosystem requiring governance tracking,MERGE,Provisional classification from local git evidence; README status block missing; mapped to canonical zynx-infra-suite,2026-04-30T00:08:59+07:00,path=/Users/kant/Documents/Zynx/10_Sources/GitHub/zynx-infra-suite-71d4d776;branch=main;head=35df89cfa3a7437479128dd102bd443c11b8fe36;remote=https://github.com/zynx-chanont/zynx-infra-suite-71d4d776.git
zynx-lovable-explainer-49937,zynx-chanont/zynx-lovable-explainer-49937,zynx-chanont,EXPERIMENT,docs,docs-content,zynx-lovable-explainer-49937,zynx-lovable-explainer-49937-4a786f9a;zynx-lovable-explainer-49937-fef65fee,Repository in Zynx ecosystem requiring governance tracking,REVIEW,Provisional classification from local git evidence; README status block missing,2026-04-30T00:08:59+07:00,path=/Users/kant/Documents/Zynx/10_Sources/GitHub/zynx-lovable-explainer-49937;branch=main;head=80d27e8d6da7929908620522e051463ea62b1298;remote=https://github.com/zynx-chanont/zynx-lovable-explainer-49937.git
zynx-lovable-explainer-49937-4a786f9a,zynx-chanont/zynx-lovable-explainer-49937-4a786f9a,zynx-chanont,DORMANT,docs,docs-content,zynx-lovable-explainer-49937,zynx-lovable-explainer-49937,Repository in Zynx ecosystem requiring governance tracking,ARCHIVE,Provisional classification from local git evidence; README status block missing; mapped to canonical zynx-lovable-explainer-49937,2026-04-30T00:08:59+07:00,path=/Users/kant/Documents/Zynx/10_Sources/GitHub/zynx-lovable-explainer-49937-4a786f9a;branch=main;head=6d4ffd920bd73fbd3d9c9ebe6614726736c9a2ed;remote=https://github.com/zynx-chanont/zynx-lovable-explainer-49937-4a786f9a.git
zynx-lovable-explainer-49937-fef65fee,zynx-chanont/zynx-lovable-explainer-49937-fef65fee,zynx-chanont,DORMANT,docs,docs-content,zynx-lovable-explainer-49937,zynx-lovable-explainer-49937,Repository in Zynx ecosystem requiring governance tracking,ARCHIVE,Provisional classification from local git evidence; README status block missing; mapped to canonical zynx-lovable-explainer-49937,2026-04-30T00:08:59+07:00,path=/Users/kant/Documents/Zynx/10_Sources/GitHub/zynx-lovable-explainer-49937-fef65fee;branch=main;head=656684e34757dd5337ef1c9cacad3e527000e215;remote=https://github.com/zynx-chanont/zynx-lovable-explainer-49937-fef65fee.git
zynx-portal-nexus,zynx-chanont/zynx-portal-nexus,zynx-chanont,EXPERIMENT,website,personal-showcase,zynx-portal-nexus,,Repository in Zynx ecosystem requiring governance tracking,REVIEW,Provisional classification from local git evidence; README status block missing,2026-04-30T00:08:59+07:00,path=/Users/kant/Documents/Zynx/10_Sources/GitHub/zynx-portal-nexus;branch=main;head=de5f73121c7842e34e4fed32cfdcd7a1174187c0;remote=https://github.com/zynx-chanont/zynx-portal-nexus.git
zynx-portfolio,zynx-chanont/zynx-portfolio,zynx-chanont,SHOWCASE,website,personal-showcase,zynx-portfolio,,Portfolio showcase of Zynx concepts,SHOWCASE,Provisional classification from local git evidence; README status block missing,2026-04-30T00:08:59+07:00,path=/Users/kant/Documents/Zynx/10_Sources/GitHub/zynx-portfolio;branch=main;head=9213300ddb8a7111bf51f8d0ec881227401d9dc7;remote=https://github.com/zynx-chanont/zynx-portfolio.git
zynx-proof-of-concept,zynx-chanont/zynx-proof-of-concept,zynx-chanont,EXPERIMENT,agent-system,experiments,zynx-proof-of-concept,,Repository in Zynx ecosystem requiring governance tracking,REVIEW,Provisional classification from local git evidence; README status block missing,2026-04-30T00:08:59+07:00,path=/Users/kant/Documents/Zynx/10_Sources/GitHub/zynx-proof-of-concept;branch=main;head=84b10d86d199cadc7fce64f78d759832f3b09f87;remote=https://github.com/zynx-chanont/zynx-proof-of-concept.git
zynx-site,zynx-chanont/zynx-site,zynx-chanont,SHOWCASE,website,personal-showcase,zynx-site,,Public website presentation for Zynx,SHOWCASE,Provisional classification from local git evidence; README status block missing,2026-04-30T00:08:59+07:00,path=/Users/kant/Documents/Zynx/10_Sources/GitHub/zynx-site;branch=main;head=6031210cd590ad6bc6f68aa2c271d33ca5ce4386;remote=https://github.com/zynx-chanont/zynx-site.git
zynx-thai-transfer-magic,zynx-chanont/zynx-thai-transfer-magic,zynx-chanont,EXPERIMENT,agent-system,agent-systems,zynx-thai-transfer-magic,,Repository in Zynx ecosystem requiring governance tracking,REVIEW,Provisional classification from local git evidence; README status block missing,2026-04-30T00:08:59+07:00,path=/Users/kant/Documents/Zynx/10_Sources/GitHub/zynx-thai-transfer-magic;branch=main;head=91f0edc09efd72d5ed8f936dd3922afa863ba965;remote=https://github.com/zynx-chanont/zynx-thai-transfer-magic.git
